Cell_type	Group	GSM4710689_PDAC_TISSUE_1	GSM4710690_PDAC_TISSUE_2	GSM4710691_PDAC_TISSUE_3	GSM4710692_PDAC_TISSUE_4	GSM4710693_PDAC_TISSUE_5	GSM4710694_PDAC_TISSUE_6	GSM4710695_PDAC_TISSUE_7	GSM4710696_PDAC_TISSUE_8	GSM4710697_PDAC_TISSUE_9	GSM4710698_PDAC_TISSUE_10	GSM4710699_PDAC_TISSUE_11A	GSM4710700_PDAC_TISSUE_11B	GSM4710701_PDAC_TISSUE_12	GSM4710702_PDAC_TISSUE_13	GSM4710703_PDAC_TISSUE_14	GSM4710704_PDAC_TISSUE_15	GSM4710705_PDAC_TISSUE_16	GSM4710706_AdjNorm_TISSUE_1	GSM4710707_AdjNorm_TISSUE_2	GSM4710708_AdjNorm_TISSUE_3	GSM4710709_PDAC_PBMC_1	GSM4710710_PDAC_PBMC_2	GSM4710711_PDAC_PBMC_3	GSM4710712_PDAC_PBMC_4	GSM4710713_PDAC_PBMC_5	GSM4710714_PDAC_PBMC_6	GSM4710715_PDAC_PBMC_7	GSM4710716_PDAC_PBMC_8	GSM4710717_PDAC_PBMC_9	GSM4710718_PDAC_PBMC_10A	GSM4710719_PDAC_PBMC_10B	GSM4710720_PDAC_PBMC_11	GSM4710721_PDAC_PBMC_12	GSM4710722_PDAC_PBMC_13	GSM4710723_PDAC_PBMC_14	GSM4710724_PDAC_PBMC_15	GSM4710725_PDAC_PBMC_16	GSM4710726_Healthy_PBMC_1	GSM4710727_Healthy_PBMC_2	GSM4710728_Healthy_PBMC_3	GSM4710729_Healthy_PBMC_4	PDAC_N1	PDAC_N10	PDAC_N11	PDAC_N2	PDAC_N3	PDAC_N4	PDAC_N5	PDAC_N6	PDAC_N7	PDAC_N8	PDAC_N9	PDAC_T1	PDAC_T10	PDAC_T11	PDAC_T12	PDAC_T13	PDAC_T14	PDAC_T15	PDAC_T16	PDAC_T17	PDAC_T18	PDAC_T19	PDAC_T2	PDAC_T20	PDAC_T21	PDAC_T22	PDAC_T23	PDAC_T24	PDAC_T3	PDAC_T4	PDAC_T5	PDAC_T6	PDAC_T7	PDAC_T8	PDAC_T9	PDAC1_biopsy	PDAC1_blood	PDAC10_biopsy	PDAC10_blood	PDAC11_biopsy	PDAC11_blood	PDAC12_biopsy	PDAC12_blood	PDAC2_biopsy	PDAC2_blood	PDAC3_biopsy	PDAC3_blood	PDAC4_biopsy	PDAC4_blood	PDAC5_biopsy	PDAC5_blood	PDAC6_biopsy	PDAC6_blood	PDAC7_biopsy	PDAC7_blood	PDAC8_biopsy	PDAC8_blood	PDAC9_biopsy	PDAC9_blood
T cell CD8 Senescent	T cells	0	16	6	21	11	12	54	87	69	10	0	1	3	8	3	9	0	34	13	2	20	22	35	16	72	6	204	38	49	0	1	1	9	11	11	217	80	81	75	151	27	9	0	2	10	1	0	0	1	10	12	0	0	6	8	30	28	1	28	8	1	5	56	35	6	2	7	10	24	12	6	3	10	22	3	7	34	259	152	113	22	44	55	270	27	553	163	304	34	266	33	17	18	170	38	13	23	39	60	634
T cell gdT	T cells	75	3	10	6	4	46	17	29	14	2	0	8	3	31	3	22	3	24	3	0	7	1	4	2	6	1	7	2	3	0	0	0	4	3	6	15	4	6	2	14	2	2	0	1	2	0	0	0	2	1	4	0	1	21	30	30	7	1	14	11	53	20	37	22	10	13	8	29	12	15	12	10	7	1	8	13	9	2	64	6	111	4	12	1	17	14	48	2	71	4	11	4	4	6	113	1	119	2	15	6
T cell MAIT	T cells	10	4	66	14	6	17	63	18	12	21	1	2	6	22	16	12	2	17	5	0	62	14	4	5	64	20	23	10	17	0	0	12	36	9	5	34	29	22	28	51	3	19	1	3	23	1	2	1	2	33	35	1	4	9	23	11	9	2	6	7	7	17	57	10	13	18	46	21	46	4	18	31	17	10	9	12	4	1	86	6	116	102	33	16	7	5	92	15	28	4	83	26	11	6	22	1	43	6	22	43
B cells	broad immune	26	13	156	18	14	386	801	364	30	49	2	27	12	21	17	35	7	66	22	6	59	90	134	37	38	84	89	14	27	23	2	22	99	40	37	32	91	65	41	178	17	33	3	15	15	39	13	3	12	13	13	3	31	133	77	580	57	20	366	98	165	113	481	1171	27	184	318	333	189	72	139	21	94	25	235	140	481	241	1331	1901	371	439	1436	531	20	429	4058	568	970	687	2220	69	2201	218	1188	386	116	141	1732	1100
Myeloid cells	broad immune	305	273	237	388	420	153	2745	1018	2707	408	246	531	671	1205	121	942	46	1079	807	65	244	769	1268	2411	1432	1055	653	3715	2376	3443	260	608	475	251	1485	35	215	393	396	274	525	210	60	103	317	69	2	4	20	43	225	60	219	166	942	733	457	138	366	950	1423	239	1573	395	124	804	624	796	448	645	319	433	575	162	241	628	209	2024	753	243	2829	728	696	182	1648	1600	141	1452	2658	1528	446	7158	51	1922	1154	700	3028	958	651	480
T cells	broad immune	288	117	793	425	139	547	1801	1352	548	488	18	222	175	556	371	534	40	856	350	34	1116	1039	692	455	1192	770	2305	471	701	238	244	478	1624	530	563	2213	2827	2136	1273	3789	378	197	56	63	242	44	102	56	88	268	319	56	82	194	857	915	261	60	682	434	323	368	1701	918	166	369	871	780	983	271	389	533	393	290	382	249	2739	4350	5619	2473	4758	9680	6560	4421	1457	5206	10966	4115	3042	6979	6151	3848	5092	2633	4219	602	1881	1629	2896	6791
NK cells	broad immune	77	26	70	83	89	61	93	89	104	17	3	34	35	86	22	98	4	110	55	3	200	82	135	504	387	154	331	79	107	51	61	100	290	109	61	1046	726	243	258	845	83	34	0	21	12	18	7	2	16	26	35	0	25	35	87	114	51	6	39	71	44	29	173	146	18	46	38	114	98	19	53	56	35	32	18	31	84	996	382	1012	161	1341	129	560	65	1223	291	376	184	580	245	638	58	925	130	299	230	290	167	1335
Acinar	broad all	1	51	7	95	21	15	12	29	19	5	5	3	27	82	1	7	3	269	637	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	1067	1594	2129	242	746	127	509	799	620	1067	19	6	29	27	439	44	112	94	69	62	32	80	28	46	59	27	487	16	26	48	118	80	22	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centroacinar	broad all	0	0	1	1	2	0	0	1	0	0	3	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	101	98	46	36	139	116	132	176	56	102	2	4	4	2	28	1	11	9	2	4	1	13	3	0	1	3	29	1	4	13	20	17	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endocrine	broad all	0	14	3	4	7	7	11	10	5	1	17	7	4	40	0	6	2	56	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	14	20	76	108	39	15	36	90	82	14	97	8	56	15	58	14	72	60	83	30	235	52	37	34	31	101	126	22	39	97	97	18	11	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endothelial cell	broad all	0	76	19	60	11	13	102	22	4	3	15	4	2	139	2	10	2	102	58	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2161	825	1769	1248	188	832	432	1390	947	1305	825	436	187	102	318	662	163	545	564	205	421	1543	289	268	53	49	250	1019	219	62	616	629	251	41	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epithelial	broad all	259	876	641	187	282	760	117	495	188	28	561	52	11	2259	16	492	763	281	20	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3124	1273	1988	1211	1000	3819	2429	2931	2463	1668	1272	578	327	784	652	1518	2816	1032	690	3677	2747	1142	996	1222	645	2436	517	1745	819	1237	578	1439	930	1347	2946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblast	broad all	1	81	22	83	89	23	409	374	9	12	42	15	0	48	4	117	31	24	4	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	21	78	233	30	40	9	134	49	199	21	76	49	2148	101	321	123	797	459	277	435	228	118	18	67	40	1499	620	173	95	82	83	73	42	1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stellate cell	broad all	4	13	3	41	6	7	585	51	2	4	5	12	1	22	1	4	3	432	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	45	102	322	157	86	58	272	116	271	45	239	306	585	372	368	168	814	701	174	697	1636	246	121	58	123	596	815	372	171	391	399	344	70	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B cells	broad all	26	13	156	18	14	386	801	364	30	49	2	27	12	21	17	35	7	66	22	6	59	90	134	37	38	84	89	14	27	23	2	22	99	40	37	32	91	65	41	178	17	33	3	15	15	39	13	3	12	13	13	3	31	133	77	580	57	20	366	98	165	113	481	1171	27	184	318	333	189	72	139	21	94	25	235	140	481	241	1331	1901	371	439	1436	531	20	429	4058	568	970	687	2220	69	2201	218	1188	386	116	141	1732	1100
Myeloid cells	broad all	305	273	237	388	420	153	2745	1018	2707	408	246	531	671	1205	121	942	46	1079	807	65	244	769	1268	2411	1432	1055	653	3715	2376	3443	260	608	475	251	1485	35	215	393	396	274	525	210	60	103	317	69	2	4	20	43	225	60	219	166	942	733	457	138	366	950	1423	239	1573	395	124	804	624	796	448	645	319	433	575	162	241	628	209	2024	753	243	2829	728	696	182	1648	1600	141	1452	2658	1528	446	7158	51	1922	1154	700	3028	958	651	480
T cells	broad all	288	117	793	425	139	547	1801	1352	548	488	18	222	175	556	371	534	40	856	350	34	1116	1039	692	455	1192	770	2305	471	701	238	244	478	1624	530	563	2213	2827	2136	1273	3789	378	197	56	63	242	44	102	56	88	268	319	56	82	194	857	915	261	60	682	434	323	368	1701	918	166	369	871	780	983	271	389	533	393	290	382	249	2739	4350	5619	2473	4758	9680	6560	4421	1457	5206	10966	4115	3042	6979	6151	3848	5092	2633	4219	602	1881	1629	2896	6791
NK cells	broad all	77	26	70	83	89	61	93	89	104	17	3	34	35	86	22	98	4	110	55	3	200	82	135	504	387	154	331	79	107	51	61	100	290	109	61	1046	726	243	258	845	83	34	0	21	12	18	7	2	16	26	35	0	25	35	87	114	51	6	39	71	44	29	173	146	18	46	38	114	98	19	53	56	35	32	18	31	84	996	382	1012	161	1341	129	560	65	1223	291	376	184	580	245	638	58	925	130	299	230	290	167	1335
