Cell_type	Group	GSM4710689_PDAC_TISSUE_1	GSM4710690_PDAC_TISSUE_2	GSM4710691_PDAC_TISSUE_3	GSM4710692_PDAC_TISSUE_4	GSM4710693_PDAC_TISSUE_5	GSM4710694_PDAC_TISSUE_6	GSM4710695_PDAC_TISSUE_7	GSM4710696_PDAC_TISSUE_8	GSM4710697_PDAC_TISSUE_9	GSM4710698_PDAC_TISSUE_10	GSM4710699_PDAC_TISSUE_11A	GSM4710700_PDAC_TISSUE_11B	GSM4710701_PDAC_TISSUE_12	GSM4710702_PDAC_TISSUE_13	GSM4710703_PDAC_TISSUE_14	GSM4710704_PDAC_TISSUE_15	GSM4710705_PDAC_TISSUE_16	GSM4710706_AdjNorm_TISSUE_1	GSM4710707_AdjNorm_TISSUE_2	GSM4710708_AdjNorm_TISSUE_3	GSM4710709_PDAC_PBMC_1	GSM4710710_PDAC_PBMC_2	GSM4710711_PDAC_PBMC_3	GSM4710712_PDAC_PBMC_4	GSM4710713_PDAC_PBMC_5	GSM4710714_PDAC_PBMC_6	GSM4710715_PDAC_PBMC_7	GSM4710716_PDAC_PBMC_8	GSM4710717_PDAC_PBMC_9	GSM4710718_PDAC_PBMC_10A	GSM4710719_PDAC_PBMC_10B	GSM4710720_PDAC_PBMC_11	GSM4710721_PDAC_PBMC_12	GSM4710722_PDAC_PBMC_13	GSM4710723_PDAC_PBMC_14	GSM4710724_PDAC_PBMC_15	GSM4710725_PDAC_PBMC_16	GSM4710726_Healthy_PBMC_1	GSM4710727_Healthy_PBMC_2	GSM4710728_Healthy_PBMC_3	GSM4710729_Healthy_PBMC_4	PDAC_N1	PDAC_N10	PDAC_N11	PDAC_N2	PDAC_N3	PDAC_N4	PDAC_N5	PDAC_N6	PDAC_N7	PDAC_N8	PDAC_N9	PDAC_T1	PDAC_T10	PDAC_T11	PDAC_T12	PDAC_T13	PDAC_T14	PDAC_T15	PDAC_T16	PDAC_T17	PDAC_T18	PDAC_T19	PDAC_T2	PDAC_T20	PDAC_T21	PDAC_T22	PDAC_T23	PDAC_T24	PDAC_T3	PDAC_T4	PDAC_T5	PDAC_T6	PDAC_T7	PDAC_T8	PDAC_T9	PDAC1_biopsy	PDAC1_blood	PDAC10_biopsy	PDAC10_blood	PDAC11_biopsy	PDAC11_blood	PDAC12_biopsy	PDAC12_blood	PDAC2_biopsy	PDAC2_blood	PDAC3_biopsy	PDAC3_blood	PDAC4_biopsy	PDAC4_blood	PDAC5_biopsy	PDAC5_blood	PDAC6_biopsy	PDAC6_blood	PDAC7_biopsy	PDAC7_blood	PDAC8_biopsy	PDAC8_blood	PDAC9_biopsy	PDAC9_blood
Myeloid monocyte CD14 FOLR3lo	Myeloid	34	13	48	54	30	7	1	6	1031	73	31	143	13	6	15	73	0	31	85	12	80	214	253	823	546	288	123	1316	950	1217	51	80	65	32	367	1	41	50	82	31	204	3	1	5	13	1	0	0	0	0	11	1	4	0	15	30	10	1	1	18	10	5	26	22	2	7	3	9	2	4	5	2	2	4	1	1	0	1264	0	86	0	282	0	47	0	316	0	817	0	933	0	439	0	3	0	291	0	584	0	112
Myeloid monocyte CD14CD16	Myeloid	0	3	6	12	4	2	0	0	35	0	1	6	4	7	1	28	0	1	44	0	5	14	89	30	18	28	25	24	14	26	5	27	21	10	17	2	22	40	13	15	4	3	0	1	1	1	0	0	2	2	1	0	6	1	0	5	5	0	1	11	5	0	7	5	0	0	0	0	4	0	2	0	2	2	2	0	0	174	0	11	0	63	0	17	0	114	0	139	0	141	0	291	0	2	0	33	0	39	0	77
Myeloid monocyte CD16	Myeloid	3	1	11	12	6	7	0	0	6	0	1	9	2	13	3	28	0	0	29	0	13	10	92	12	72	50	55	15	1	11	14	25	35	38	18	14	80	106	45	40	11	0	0	1	0	2	0	0	1	0	1	0	11	0	0	0	4	0	1	2	2	0	2	1	0	0	2	2	2	0	0	0	0	1	0	0	0	388	0	11	0	78	0	54	0	150	0	191	0	166	0	841	0	272	0	8	0	76	0	26
Myeloid monocyte conv	Myeloid	29	21	22	21	20	11	10	8	23	29	19	23	25	37	14	63	0	26	33	17	0	5	8	4	2	4	2	1	4	2	2	4	1	1	2	0	1	3	0	0	0	2	1	2	6	0	0	0	0	1	4	1	18	5	22	69	11	0	3	29	41	8	51	11	10	27	23	9	12	9	4	8	9	3	1	4	9	0	69	0	5	0	99	0	15	0	62	0	14	0	54	0	1	0	22	0	7	0	15	0
Myeloid monocyte nonconv	Myeloid	2	2	5	1	3	2	11	2	3	0	2	1	1	6	1	16	0	4	7	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	2	10	2	1	8	3	2	0	2	3	4	1	1	2	1	2	0	0	0	0	7	0	3	0	15	0	10	0	23	0	10	0	11	0	1	0	5	0	3	0	10	0
NK cell iNKTs	T cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	1	1	0	1	1	0	0	1	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	2	0	0	0	4	0	0	0	1	0	1	1	0	0	1	0	1	0
NK cell NK active	T cells	0	3	10	11	30	2	9	12	17	0	3	8	3	13	7	11	0	8	12	0	46	17	24	183	89	40	63	15	19	17	19	17	93	21	8	368	209	61	66	159	15	6	0	6	5	10	0	0	3	6	6	0	8	3	27	25	10	2	0	7	2	3	14	33	1	10	1	23	17	3	6	6	3	8	0	4	10	593	135	586	11	429	3	94	7	362	24	83	13	130	30	147	1	245	35	81	24	139	11	558
NK cell NK CD56bright	T cells	31	1	5	10	3	22	6	5	5	1	0	2	2	12	1	5	0	4	4	0	32	8	5	28	28	13	14	11	5	4	4	8	11	7	5	41	46	13	27	77	11	5	0	1	0	2	0	0	2	2	3	0	1	5	1	1	3	0	3	7	6	6	11	13	0	3	0	3	2	2	2	0	1	0	0	5	10	60	11	49	9	49	4	51	7	39	3	18	7	85	23	75	1	17	10	46	16	14	6	76
NK cell NK like NK cell	T cells	3	4	20	10	9	6	19	23	21	6	0	2	4	15	2	16	1	16	4	0	14	8	24	72	55	6	122	10	21	4	1	5	15	14	8	244	92	50	18	185	6	9	0	6	1	2	1	0	5	11	9	0	6	4	20	26	10	2	15	10	6	8	54	24	5	3	7	23	35	5	8	11	8	7	4	6	19	18	23	11	18	123	72	218	14	196	82	9	17	62	42	13	27	30	11	0	22	6	74	226
NK cell NK mature	T cells	0	4	20	26	33	6	5	3	35	2	0	11	9	19	8	30	0	29	18	1	54	23	30	135	112	44	60	22	28	14	21	32	104	38	21	212	220	66	90	244	28	7	0	2	1	2	0	0	1	2	12	0	3	3	7	15	11	0	3	8	0	1	20	32	1	4	12	7	7	0	9	6	6	7	0	4	1	261	58	239	24	644	12	147	7	433	26	202	21	237	80	310	7	450	17	134	17	104	8	372
NK cell NK terminal	T cells	2	7	8	17	11	4	12	12	10	0	0	7	6	13	3	18	0	12	8	1	33	15	24	63	60	32	36	10	25	8	12	21	52	17	8	133	98	32	37	92	13	1	0	4	0	2	1	1	2	3	3	0	5	4	8	20	8	0	5	8	6	8	12	13	3	8	6	13	11	1	12	17	3	4	1	2	0	19	17	68	3	53	3	17	2	44	3	19	4	18	13	44	4	151	1	12	3	12	2	42
NK cell NK transitional	T cells	41	7	7	9	3	21	42	34	16	8	0	4	11	14	1	18	3	41	9	1	21	10	25	23	43	19	35	11	9	3	3	17	14	11	11	48	60	18	20	85	10	6	0	2	5	0	5	1	3	2	2	0	2	16	24	27	9	2	13	31	24	3	62	31	8	18	12	45	26	8	16	16	14	5	13	10	44	45	137	59	95	41	33	33	28	149	149	45	122	48	56	49	17	31	56	26	147	15	65	61
T cell CD4 CM	T cells	10	4	64	40	4	39	67	59	56	11	0	11	17	48	34	23	1	25	1	0	84	101	50	43	79	97	106	35	37	18	25	54	122	54	47	86	320	180	75	349	23	2	2	1	5	0	0	0	2	11	14	1	7	6	24	56	8	4	37	3	12	21	47	84	9	21	86	8	35	1	27	7	2	10	15	4	37	117	86	127	71	407	144	135	36	125	177	133	68	231	194	234	163	93	88	23	30	93	48	216
T cell CD4 CM Activated	T cells	0	1	5	1	1	5	7	1	12	1	2	5	0	6	3	4	0	3	0	0	8	15	3	8	33	4	15	10	18	22	5	5	27	11	17	13	12	19	32	61	12	1	1	1	1	2	4	5	2	4	3	1	1	1	8	5	3	0	5	2	2	3	13	4	1	5	10	6	6	3	1	3	5	1	4	1	0	0	4	3	5	23	3	5	6	3	2	1	2	9	1	37	5	5	8	3	63	17	2	11
T cell CD4 EM	T cells	5	2	28	23	5	21	78	35	11	19	3	10	7	29	15	16	0	58	5	0	43	64	31	13	52	39	48	10	8	20	20	30	90	36	45	50	73	104	50	140	16	16	6	3	9	8	22	11	16	14	31	6	6	15	49	45	13	8	61	17	17	24	106	37	9	32	79	30	66	31	15	39	24	19	26	8	65	110	182	78	107	229	105	43	63	72	156	56	59	127	117	121	347	130	81	20	30	35	44	113
T cell CD4 Exhausted	T cells	1	2	9	15	1	4	29	9	7	20	1	5	5	18	0	2	6	23	36	0	5	7	1	0	4	4	5	0	2	4	0	2	4	4	6	16	10	16	5	14	1	10	15	6	35	7	15	9	6	16	21	15	1	1	23	5	8	1	12	13	3	9	104	7	6	3	11	16	58	5	11	32	13	6	8	6	23	3	138	1	123	10	35	0	10	4	221	4	22	2	72	3	26	1	71	0	20	0	12	5
T cell CD4 Naive	T cells	28	12	144	39	13	71	41	46	31	9	2	88	20	50	109	103	0	22	1	0	279	228	115	82	191	207	549	39	130	84	119	78	552	85	153	119	947	820	263	1240	55	4	3	1	9	0	2	1	0	15	8	3	5	7	10	60	4	0	8	1	7	19	18	171	8	21	90	1	11	7	25	3	1	6	1	0	136	1083	262	866	179	5629	665	1645	80	609	402	1204	127	3390	447	1407	508	593	349	280	59	733	139	1505
T cell CD4 Senescent	T cells	0	5	1	4	6	2	18	23	23	3	0	0	1	1	0	2	0	2	11	2	2	9	40	7	33	1	208	13	32	0	0	0	0	3	1	185	76	58	62	49	29	2	0	0	4	0	0	0	0	4	6	0	1	0	3	11	14	0	4	0	0	2	11	17	2	4	1	1	3	3	1	0	1	8	1	1	11	164	6	35	2	11	1	178	7	341	2	108	3	114	11	16	0	59	7	4	6	14	19	427
T cell CD4 Tfh	T cells	9	0	27	17	4	14	62	61	9	29	0	4	2	16	9	12	5	14	4	0	28	26	16	7	11	30	29	11	14	3	5	19	35	18	10	29	34	33	23	69	7	9	0	1	7	1	3	0	0	10	6	1	4	9	26	55	6	0	18	13	9	14	68	23	7	18	35	14	32	3	9	11	10	9	8	2	200	27	268	61	435	217	508	65	59	69	1147	131	278	125	992	101	525	81	513	18	67	40	370	100
T cell CD4 Tfh Activated	T cells	3	1	14	4	6	10	30	47	7	6	0	3	7	13	10	11	1	16	4	0	24	19	13	6	23	15	36	6	15	6	9	17	23	13	11	24	95	33	14	55	11	5	0	0	7	0	2	0	0	9	7	0	5	11	19	56	4	0	34	16	6	13	95	43	1	12	31	26	20	8	12	18	5	6	10	7	13	18	81	19	137	74	83	23	12	20	509	43	44	45	189	39	90	25	96	5	13	14	34	27
T cell CD4 Th1	T cells	0	5	1	4	1	10	11	21	2	3	0	0	4	3	3	1	0	8	13	0	7	5	12	24	23	5	183	6	25	0	1	1	10	6	3	145	39	33	56	54	15	4	0	0	2	0	0	0	0	6	5	0	0	0	8	17	9	0	5	1	0	4	10	11	1	4	3	6	7	3	6	0	0	5	0	2	9	155	8	60	14	34	2	118	11	284	5	86	3	100	13	29	1	56	12	7	12	20	5	397
T cell CD4 Th17	T cells	7	3	59	33	6	9	105	36	34	24	0	9	10	27	38	38	1	38	6	0	109	164	60	33	86	81	105	45	67	4	8	64	148	69	34	82	249	104	73	265	29	2	0	0	6	0	0	0	0	7	2	0	0	3	24	14	1	4	4	3	10	10	27	29	1	4	51	3	16	6	8	4	4	6	5	3	85	126	317	153	234	591	157	174	86	199	320	242	148	248	199	447	188	134	296	43	106	106	113	275
